LOAN_AMOUNT,CREDIT_SCORE,MONTHLY_INCOME,DEBT_TO_INCOME_RATIO,LOAN_TERM_MONTHS,EMPLOYMENT_STATUS,EDUCATION_LEVEL,LOAN_PURPOSE,STATE,LOAN_DEFAULT
1000,729,6052,0.31,45,Self-Employed,Bachelors,Business,OH,0
18203,376,500,0.22,6,Employed,Masters,Home,NY,1
27183,523,2577,0.31,18,Employed,High School,Business,CA,1
8740,606,5836,0.05,20,Employed,Masters,Car,IL,1
20028,583,500,0.28,43,Self-Employed,High School,Home,IL,1
17374,720,6522,0.20,35,Employed,High School,Business,NY,0
1879,651,3871,0.19,39,Employed,High School,Education,OH,0
14048,472,506,0.31,21,Employed,PhD,Debt Consolidation,GA,1
16961,691,5087,0.17,36,Employed,High School,Home,CA,0
8209,339,500,0.57,18,Employed,Bachelors,Car,CA,1
18886,534,1200,0.47,29,Employed,High School,Business,CA,1
20552,538,2983,0.38,21,Employed,Masters,Car,CA,1
15314,434,1024,0.42,14,Retired,High School,Debt Consolidation,IL,1
6119,573,2117,0.10,32,Employed,High School,Business,NC,0
7450,440,500,0.39,23,Employed,High School,Car,FL,1
22563,700,2003,0.50,53,Employed,Masters,Car,OH,1
15341,572,500,0.51,42,Unemployed,Bachelors,Education,CA,1
11194,456,2311,0.33,12,Self-Employed,High School,Car,OH,1
19997,726,7112,0.33,35,Self-Employed,High School,Car,GA,0
14988,327,1878,0.34,6,Unemployed,High School,Education,NY,1
16588,457,500,0.57,26,Unemployed,High School,Debt Consolidation,NC,1
10876,618,6068,0.37,24,Self-Employed,PhD,Business,NY,1
9710,464,516,0.21,20,Employed,PhD,Home,NC,1
15209,528,2744,0.29,21,Self-Employed,High School,Education,TX,0
12111,595,4286,0.29,26,Self-Employed,Masters,Education,OH,0
4672,618,3552,0.14,34,Unemployed,Bachelors,Business,NC,0
19352,841,9255,0.20,43,Employed,Bachelors,Business,NC,0
1000,615,2839,0.05,36,Self-Employed,Bachelors,Debt Consolidation,FL,0
11539,567,4211,0.20,21,Employed,High School,Car,CA,1
7001,618,2408,0.41,41,Employed,High School,Business,CA,1
21040,585,1538,0.40,35,Employed,Bachelors,Education,IL,1
8961,445,500,0.05,18,Self-Employed,High School,Business,TX,0
4360,566,1051,0.06,35,Employed,Bachelors,Car,TX,0
22149,485,4673,0.26,6,Self-Employed,High School,Debt Consolidation,NC,1
11522,438,2032,0.26,10,Unemployed,High School,Car,IL,1
17707,609,2834,0.52,36,Retired,Bachelors,Car,NC,1
22481,850,7661,0.25,55,Self-Employed,Bachelors,Debt Consolidation,GA,0
21323,600,1120,0.56,41,Self-Employed,High School,Car,NC,1
1000,606,500,0.10,47,Retired,High School,Education,IL,0
12595,584,931,0.38,39,Employed,Bachelors,Debt Consolidation,NY,1
22778,608,2237,0.46,36,Unemployed,Masters,Car,GA,0
28250,533,6787,0.22,6,Employed,Bachelors,Home,NC,1
9518,594,2262,0.16,34,Unemployed,PhD,Debt Consolidation,NC,0
19273,579,2112,0.42,32,Employed,Masters,Business,IL,1
29361,608,5141,0.37,21,Unemployed,High School,Home,NY,1
13239,707,3531,0.43,49,Unemployed,High School,Debt Consolidation,CA,1
8889,738,5266,0.29,47,Employed,Bachelors,Debt Consolidation,OH,0
15210,614,500,0.56,52,Employed,High School,Business,OH,1
9761,621,5524,0.14,25,Retired,Masters,Home,IL,0
12985,533,500,0.46,36,Unemployed,High School,Business,CA,1
12198,559,1946,0.22,29,Employed,High School,Education,IL,0
17183,599,1684,0.35,37,Employed,Masters,Debt Consolidation,OH,1
16174,537,1580,0.39,28,Employed,PhD,Car,GA,1
25276,351,500,0.22,6,Self-Employed,Bachelors,Home,NY,1
7761,588,948,0.05,37,Unemployed,Bachelors,Debt Consolidation,NC,0
4156,531,1170,0.05,28,Employed,Masters,Debt Consolidation,NC,1
17912,416,3392,0.28,6,Employed,Masters,Home,GA,1
2029,650,7867,0.28,23,Employed,Masters,Education,NC,0
20768,577,3762,0.32,23,Unemployed,Masters,Car,IL,1
18266,763,4421,0.10,50,Employed,Bachelors,Home,OH,1
21768,536,3922,0.32,16,Employed,Masters,Home,NC,1
7535,612,4024,0.24,31,Employed,High School,Business,FL,0
3381,507,2940,0.28,20,Self-Employed,Masters,Debt Consolidation,GA,0
15247,501,2735,0.19,15,Employed,Bachelors,Home,TX,0
19593,546,2819,0.46,24,Employed,Masters,Home,GA,1
24850,732,3010,0.48,53,Unemployed,High School,Education,GA,1
22473,802,5966,0.29,51,Unemployed,High School,Business,CA,0
13114,467,500,0.29,28,Employed,Bachelors,Debt Consolidation,IL,1
6516,570,3077,0.36,29,Employed,High School,Car,FL,1
1000,599,1154,0.18,42,Employed,Bachelors,Car,IL,0
1000,572,1546,0.05,34,Employed,High School,Education,OH,1
21923,465,3082,0.38,8,Employed,PhD,Business,IL,1
24250,533,5254,0.27,8,Employed,High School,Home,NY,1
16219,613,500,0.49,47,Self-Employed,High School,Education,GA,1
1000,679,4096,0.37,47,Retired,High School,Car,CA,0
8369,649,5693,0.27,30,Unemployed,High School,Education,GA,0
1000,592,2734,0.13,37,Self-Employed,Bachelors,Education,NC,0
29314,633,4683,0.41,27,Self-Employed,Masters,Debt Consolidation,IL,1
29235,610,5943,0.32,17,Employed,Bachelors,Debt Consolidation,GA,1
11424,470,3425,0.38,10,Unemployed,High School,Car,FL,1
11472,560,3257,0.29,25,Unemployed,Bachelors,Business,CA,1
4022,468,2770,0.34,14,Employed,High School,Business,FL,1
9336,464,500,0.21,26,Unemployed,Masters,Business,GA,1
20403,363,500,0.19,6,Retired,High School,Car,IL,0
16306,739,8001,0.17,32,Retired,Masters,Car,NC,0
7366,485,671,0.10,23,Employed,PhD,Business,FL,1
1000,685,2915,0.05,48,Employed,Bachelors,Debt Consolidation,TX,0
24477,850,4387,0.17,73,Employed,Masters,Business,TX,1
20546,659,2330,0.39,44,Employed,Masters,Business,CA,1
16745,541,1320,0.43,30,Employed,High School,Home,GA,1
15989,584,500,0.57,48,Unemployed,High School,Car,NY,1
4867,528,2987,0.38,24,Self-Employed,Masters,Home,OH,1
6175,426,500,0.14,31,Self-Employed,High School,Debt Consolidation,IL,1
22172,683,2394,0.47,48,Unemployed,High School,Home,FL,1
16036,459,2044,0.36,13,Employed,High School,Business,GA,1
26074,580,5515,0.29,15,Self-Employed,High School,Business,NY,0
5234,580,4690,0.38,25,Employed,Masters,Business,FL,0
8209,458,500,0.05,29,Employed,High School,Home,OH,1
1000,698,4572,0.05,43,Self-Employed,Masters,Car,TX,0
27184,794,1544,0.36,67,Employed,Bachelors,Business,NC,1
6320,499,860,0.36,27,Unemployed,High School,Debt Consolidation,FL,1
5365,507,1937,0.23,23,Self-Employed,High School,Car,NY,1
17006,300,2302,0.34,6,Employed,High School,Education,CA,1
20720,522,3395,0.34,16,Employed,High School,Education,CA,0
21535,411,2659,0.41,6,Self-Employed,Bachelors,Business,FL,0
3540,680,5839,0.28,36,Employed,Bachelors,Business,NY,0
13604,517,500,0.52,36,Employed,Bachelors,Home,NC,1
27566,333,1583,0.43,6,Employed,Bachelors,Debt Consolidation,IL,1
22233,630,2766,0.43,37,Self-Employed,High School,Home,GA,0
16194,300,865,0.68,6,Employed,High School,Business,NY,1
16558,667,5691,0.21,30,Employed,High School,Education,IL,0
17568,593,1044,0.46,40,Employed,Masters,Business,NY,1
5593,556,1924,0.05,28,Unemployed,Masters,Education,NY,0
15949,444,1178,0.42,14,Self-Employed,Bachelors,Education,CA,1
7878,562,3322,0.14,25,Employed,High School,Debt Consolidation,GA,0
6768,507,839,0.25,27,Unemployed,Bachelors,Home,NY,1
20715,641,4221,0.58,35,Self-Employed,Bachelors,Education,OH,1
12300,548,3486,0.27,22,Employed,Bachelors,Home,NY,1
21633,850,6549,0.19,57,Employed,High School,Home,GA,1
1000,697,6320,0.05,36,Self-Employed,Bachelors,Debt Consolidation,OH,0
7242,470,500,0.27,25,Employed,Bachelors,Business,IL,1
23331,605,2965,0.42,32,Employed,High School,Debt Consolidation,FL,1
14771,471,2222,0.05,11,Employed,Masters,Education,NY,1
2585,635,5234,0.19,31,Employed,PhD,Home,CA,0
37176,850,7653,0.36,59,Employed,High School,Business,GA,0
8084,511,1888,0.25,23,Employed,Bachelors,Home,IL,1
24258,650,3091,0.44,39,Employed,Bachelors,Debt Consolidation,CA,1
3435,539,2010,0.19,28,Employed,High School,Business,NC,1
10371,467,500,0.42,25,Self-Employed,High School,Education,FL,1
4671,597,3361,0.38,34,Employed,Bachelors,Business,IL,1
17908,720,5313,0.18,40,Self-Employed,Bachelors,Business,CA,1
4883,566,2890,0.29,30,Employed,Bachelors,Education,IL,0
21522,850,6850,0.10,65,Self-Employed,High School,Business,NY,0
14171,459,1945,0.33,13,Employed,Bachelors,Home,GA,1
17712,453,500,0.26,17,Self-Employed,High School,Debt Consolidation,IL,1
22543,500,4068,0.32,9,Employed,High School,Home,NY,0
1000,684,3260,0.20,48,Employed,Masters,Debt Consolidation,OH,0
8535,599,2816,0.12,32,Employed,High School,Home,TX,0
21080,531,2451,0.42,22,Employed,Masters,Car,CA,1
3618,606,3291,0.36,35,Employed,High School,Business,IL,0
18446,512,2776,0.51,19,Self-Employed,Bachelors,Home,TX,0
17133,587,4392,0.32,23,Employed,High School,Home,OH,0
24736,422,2583,0.17,6,Employed,Masters,Business,FL,1
23179,518,2715,0.44,19,Self-Employed,Masters,Car,NY,1
8189,576,4132,0.07,23,Employed,Masters,Car,CA,1
1000,633,1264,0.05,46,Unemployed,Bachelors,Business,NC,0
27323,300,500,0.27,6,Employed,Masters,Car,OH,1
14937,511,2269,0.19,19,Unemployed,High School,Education,OH,1
21268,641,3251,0.37,37,Employed,Masters,Education,GA,0
22513,591,3867,0.35,25,Employed,High School,Debt Consolidation,GA,1
12016,473,4138,0.26,6,Employed,Masters,Debt Consolidation,FL,0
4488,540,1659,0.23,30,Employed,Masters,Business,OH,0
16858,738,4716,0.38,48,Unemployed,PhD,Business,TX,0
3569,578,4046,0.30,27,Employed,Masters,Business,CA,1
6574,631,2128,0.37,44,Unemployed,High School,Debt Consolidation,FL,1
24364,382,500,0.40,6,Employed,High School,Home,NY,1
8531,436,500,0.22,21,Unemployed,High School,Debt Consolidation,TX,1
17022,436,1424,0.44,12,Employed,Bachelors,Business,TX,0
16905,522,2330,0.41,22,Employed,Bachelors,Business,NC,0
13589,536,1565,0.11,26,Unemployed,Bachelors,Business,CA,1
18289,520,2611,0.36,20,Retired,High School,Debt Consolidation,CA,1
1488,626,4606,0.10,31,Employed,High School,Education,NC,1
17474,481,1813,0.26,16,Employed,Masters,Education,NY,0
26399,638,5324,0.31,25,Employed,High School,Debt Consolidation,NY,1
16553,433,585,0.34,14,Employed,Masters,Debt Consolidation,GA,1
17682,688,6177,0.25,32,Employed,Bachelors,Home,IL,0
15645,445,500,0.53,22,Unemployed,Masters,Home,NY,1
19012,727,6870,0.28,35,Employed,Masters,Home,FL,0
20257,562,2080,0.45,29,Employed,High School,Business,GA,1
18284,735,6099,0.20,39,Employed,PhD,Business,TX,0
3808,722,5213,0.10,44,Unemployed,High School,Home,CA,0
17668,375,2779,0.31,6,Employed,Bachelors,Car,GA,1
1642,723,5544,0.05,43,Self-Employed,High School,Education,GA,0
16844,580,6369,0.25,13,Employed,High School,Home,TX,0
22919,518,4121,0.33,12,Self-Employed,High School,Car,NC,1
18197,565,1686,0.43,32,Unemployed,Masters,Home,FL,1
18716,511,2708,0.36,18,Employed,Masters,Business,CA,0
18016,514,3891,0.24,12,Unemployed,High School,Home,TX,0
19777,478,2532,0.39,13,Self-Employed,High School,Car,NC,1
17924,624,4511,0.30,29,Self-Employed,Masters,Business,CA,0
12727,547,3088,0.56,26,Employed,High School,Education,IL,0
1000,824,8174,0.24,52,Employed,Bachelors,Home,NY,0
21511,500,3047,0.38,14,Employed,High School,Education,FL,1
19509,764,7176,0.25,40,Employed,Masters,Education,CA,0
15198,548,2300,0.59,29,Unemployed,High School,Education,OH,1
20538,535,3432,0.33,18,Employed,Masters,Car,OH,1
10069,463,500,0.06,19,Self-Employed,PhD,Car,OH,1
3202,689,6280,0.13,34,Employed,Bachelors,Business,CA,0
25220,631,3838,0.40,32,Self-Employed,Masters,Debt Consolidation,GA,1
18718,568,1856,0.43,32,Employed,Masters,Business,NY,1
15771,681,4634,0.31,38,Employed,Bachelors,Home,GA,0
3369,508,3396,0.38,19,Self-Employed,Bachelors,Home,CA,1
4145,577,2473,0.05,31,Employed,Bachelors,Home,NC,0
17870,764,2408,0.05,58,Unemployed,PhD,Education,TX,0
15440,523,770,0.44,30,Employed,Bachelors,Car,NC,1
18516,767,4353,0.10,51,Self-Employed,High School,Business,NC,1
7605,570,3297,0.14,26,Employed,High School,Car,NY,0
20801,850,4917,0.05,70,Unemployed,Masters,Home,IL,0
27766,628,5034,0.36,25,Self-Employed,High School,Home,CA,1
18507,487,3316,0.41,12,Employed,Masters,Car,TX,1
18810,792,3854,0.06,57,Employed,Bachelors,Business,GA,0
19691,734,5777,0.26,41,Self-Employed,Bachelors,Business,TX,0
20737,690,4564,0.33,39,Employed,High School,Debt Consolidation,NC,0
20153,443,2515,0.40,7,Self-Employed,Masters,Business,TX,0
1668,618,2910,0.05,36,Employed,High School,Home,GA,0
3413,443,2492,0.30,11,Self-Employed,Bachelors,Car,OH,1
17867,476,1628,0.42,17,Employed,High School,Home,TX,1
13277,300,1537,0.32,6,Self-Employed,Masters,Education,FL,1
14087,507,846,0.41,27,Unemployed,PhD,Education,IL,1
17025,521,1780,0.39,24,Retired,Masters,Education,TX,0
1000,654,2639,0.14,45,Self-Employed,High School,Home,GA,0
13203,540,3487,0.27,20,Unemployed,Bachelors,Car,FL,1
19156,549,3218,0.33,22,Employed,Masters,Car,NC,1
19296,622,648,0.54,47,Self-Employed,High School,Home,IL,1
4787,637,3429,0.20,38,Employed,Masters,Education,CA,0
2569,548,2878,0.35,28,Employed,High School,Education,FL,1
15955,541,1178,0.43,31,Employed,Masters,Business,GA,1
15877,661,4262,0.60,40,Unemployed,Bachelors,Car,NC,1
18116,385,3389,0.27,6,Self-Employed,High School,Debt Consolidation,FL,1
17765,464,1501,0.43,16,Self-Employed,PhD,Car,OH,1
2232,632,4059,0.27,36,Self-Employed,High School,Business,FL,1
12965,539,4718,0.24,14,Employed,High School,Education,TX,0
16703,508,4943,0.42,9,Employed,High School,Education,NC,1
22144,706,2844,0.43,50,Unemployed,Bachelors,Debt Consolidation,TX,1
19623,513,2719,0.39,18,Employed,Bachelors,Business,FL,1
25401,705,3977,0.14,41,Retired,Masters,Car,NY,0
21112,427,2264,0.56,7,Employed,Bachelors,Debt Consolidation,CA,1
2102,628,5243,0.34,31,Self-Employed,Bachelors,Business,NC,0
11633,397,600,0.44,11,Unemployed,PhD,Debt Consolidation,IL,1
20877,600,2568,0.42,33,Employed,Masters,Home,TX,0
8550,558,5005,0.16,17,Unemployed,Masters,Home,FL,1
7736,623,5193,0.29,28,Employed,Bachelors,Business,FL,0
17530,474,1906,0.40,16,Self-Employed,High School,Home,GA,1
16733,657,2834,0.13,40,Self-Employed,High School,Car,FL,1
8568,586,3434,0.11,28,Employed,PhD,Business,GA,0
19498,536,1758,0.44,27,Self-Employed,PhD,Car,FL,0
5128,505,500,0.32,31,Employed,High School,Car,OH,1
19867,761,7623,0.29,38,Employed,Masters,Home,CA,0
16628,526,1130,0.45,28,Employed,Masters,Debt Consolidation,GA,0
22782,642,3032,0.42,38,Self-Employed,Bachelors,Debt Consolidation,IL,1
13284,571,2951,0.46,29,Employed,Bachelors,Business,NC,1
10776,521,1536,0.40,27,Employed,High School,Car,NY,1
7340,586,3718,0.34,29,Employed,PhD,Education,NY,0
13157,477,1323,0.27,19,Employed,High School,Home,TX,1
22011,850,5412,0.16,61,Employed,Bachelors,Home,TX,0
16394,551,2198,0.35,27,Unemployed,Bachelors,Business,GA,1
4727,487,792,0.21,24,Self-Employed,Masters,Business,NC,1
17443,504,3778,0.24,11,Employed,Bachelors,Debt Consolidation,NY,0
4343,389,2591,0.42,6,Retired,High School,Education,NY,1
24348,302,500,0.34,6,Retired,Bachelors,Business,OH,1
1000,620,4171,0.38,35,Employed,Masters,Business,GA,0
2939,617,4040,0.34,34,Employed,High School,Education,IL,1
1594,659,5488,0.08,33,Employed,High School,Education,IL,0
1000,398,769,0.30,14,Self-Employed,Bachelors,Car,IL,0
20358,512,3238,0.34,15,Employed,High School,Car,CA,1
7101,485,2598,0.37,17,Employed,Bachelors,Home,CA,0
26670,608,4908,0.35,22,Employed,Bachelors,Education,GA,1
9590,489,1489,0.19,20,Unemployed,High School,Education,OH,1
20034,850,6822,0.08,60,Employed,Bachelors,Home,CA,0
16470,565,2652,0.33,27,Employed,Masters,Debt Consolidation,GA,0
33108,300,500,0.41,6,Employed,Masters,Debt Consolidation,OH,1
18330,489,2493,0.37,15,Employed,High School,Education,GA,1
13444,569,4153,0.26,22,Unemployed,Bachelors,Business,OH,1
16810,408,3380,0.24,6,Employed,Bachelors,Car,TX,0
15593,473,1125,0.42,20,Employed,High School,Education,TX,1
12400,511,2128,0.05,17,Employed,High School,Education,GA,1
14061,440,1716,0.31,11,Employed,High School,Education,NY,0
15565,518,2941,0.12,17,Employed,High School,Business,NC,1
20274,817,6312,0.18,51,Unemployed,Bachelors,Car,OH,0
14729,755,8658,0.10,32,Unemployed,PhD,Education,OH,0
20707,653,2755,0.39,41,Self-Employed,High School,Education,IL,1
24075,850,3570,0.07,80,Employed,PhD,Car,TX,1
8231,408,500,0.55,27,Employed,High School,Debt Consolidation,NC,1
1000,717,3911,0.05,50,Employed,Masters,Home,FL,0
17922,577,1484,0.44,35,Retired,PhD,Car,OH,1
23408,657,2787,0.45,41,Employed,Bachelors,Education,CA,0
1642,621,2724,0.17,39,Self-Employed,Bachelors,Debt Consolidation,NY,0
18781,444,1784,0.43,11,Retired,Masters,Home,TX,0
23342,727,4164,0.35,46,Self-Employed,Bachelors,Home,OH,0
14064,499,1825,0.22,20,Employed,High School,Education,TX,1
12096,502,1447,0.32,23,Employed,PhD,Business,GA,0
17280,463,2738,0.33,10,Unemployed,High School,Business,NC,1
20781,525,3577,0.29,15,Employed,Masters,Car,CA,1
9537,516,2904,0.32,20,Employed,Bachelors,Debt Consolidation,IL,1
21609,490,3138,0.38,12,Employed,Bachelors,Home,NC,1
20303,813,7124,0.21,48,Self-Employed,High School,Car,TX,0
22805,555,2106,0.50,28,Retired,High School,Education,FL,1
23297,850,11148,0.26,56,Retired,High School,Debt Consolidation,NY,0
20695,367,500,0.22,14,Retired,High School,Car,GA,1
15381,643,5304,0.18,28,Employed,High School,Education,CA,0
8774,587,4714,0.37,25,Employed,Bachelors,Business,IL,1
15013,519,2694,0.30,20,Employed,Masters,Car,FL,1
4034,674,3597,0.16,43,Self-Employed,Bachelors,Business,NC,0
13183,465,500,0.29,23,Self-Employed,High School,Debt Consolidation,CA,1
9209,560,3255,0.24,25,Employed,High School,Debt Consolidation,OH,0
13390,681,8724,0.15,20,Employed,Bachelors,Education,GA,0
12621,427,500,0.41,16,Employed,PhD,Business,FL,1
22256,425,2320,0.38,6,Employed,Bachelors,Education,OH,1
12901,415,500,0.47,18,Employed,High School,Car,NC,1
12915,480,2793,0.25,13,Employed,High School,Debt Consolidation,NY,1
20375,447,829,0.13,12,Employed,Bachelors,Car,TX,0
9587,595,3260,0.41,33,Unemployed,High School,Debt Consolidation,GA,0
17310,469,2544,0.25,11,Employed,Bachelors,Debt Consolidation,TX,0
15907,527,1835,0.40,25,Self-Employed,Bachelors,Car,NC,1
20419,813,5411,0.16,54,Employed,Bachelors,Education,OH,0
15746,412,2356,0.31,6,Employed,Bachelors,Debt Consolidation,GA,1
22359,460,1392,0.19,12,Employed,Bachelors,Education,NC,1
22663,827,5222,0.23,58,Retired,Bachelors,Education,NY,1
21684,514,3376,0.36,15,Unemployed,Masters,Education,NC,0
1000,583,4400,0.22,27,Employed,Masters,Home,NC,0
8612,537,1045,0.30,31,Unemployed,Masters,Debt Consolidation,FL,1
4159,547,2748,0.15,26,Employed,High School,Debt Consolidation,CA,1
24111,581,3367,0.41,26,Employed,High School,Home,OH,0
30526,565,5517,0.36,12,Self-Employed,High School,Education,OH,1
21654,824,4999,0.18,58,Employed,Bachelors,Home,FL,0
19904,516,4412,0.25,10,Employed,Bachelors,Debt Consolidation,NC,0
22125,300,500,0.29,6,Employed,High School,Business,TX,1
13917,441,2887,0.32,6,Unemployed,Bachelors,Debt Consolidation,NC,0
13684,445,500,0.39,20,Unemployed,Bachelors,Debt Consolidation,IL,1
20839,504,2773,0.56,18,Employed,High School,Debt Consolidation,CA,1
18966,484,2522,0.39,14,Employed,PhD,Business,CA,1
16338,649,6087,0.24,26,Unemployed,Bachelors,Business,NY,0
18931,788,9113,0.26,36,Employed,Bachelors,Car,NC,0
15285,574,2874,0.20,27,Employed,Bachelors,Debt Consolidation,TX,1
19547,498,1692,0.45,21,Unemployed,PhD,Business,TX,1
16070,493,1880,0.39,20,Employed,Bachelors,Car,NC,1
25206,582,3631,0.42,25,Self-Employed,Bachelors,Business,NC,1
6099,657,4749,0.05,34,Unemployed,Bachelors,Debt Consolidation,OH,0
24386,549,4319,0.35,16,Employed,High School,Car,NC,1
18954,424,3050,0.33,6,Employed,High School,Business,NC,0
24557,602,2440,0.49,34,Employed,Bachelors,Car,GA,1
17365,678,8145,0.32,23,Employed,Bachelors,Car,TX,0
12852,551,1766,0.15,28,Employed,Bachelors,Home,OH,1
21516,588,2511,0.42,31,Employed,Masters,Car,CA,0
15806,551,851,0.45,34,Retired,High School,Car,TX,1
21376,528,2855,0.40,20,Employed,High School,Debt Consolidation,FL,1
